EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
"100","Steven","King","SKING","515.123.4567",1987-6-17,"AD_PRES","88555.38","","","90"
"101","Neena","Kochhar","NKOCHHAR","515.123.4568",1989-9-21,"AD_VP","20570.00","","100","90"
"102","Lex","De Haan","LDEHAAN","515.123.4569",1993-1-13,"AD_VP","22990.00","","100","90"
"103","Alexander","Hunold","AHUNOLD","590.423.4567",1990-1-3,"IT_PROG","9300.00","","102","60"
"104","Bruce","Ernst","BERNST","590.423.4568",1991-5-21,"IT_PROG","6000.00","","103","60"
"105","David","Austin","DAUSTIN","590.423.4569",1997-6-25,"IT_PROG","5808.00","","103","60"
"106","Valli","Pataballa","VPATABAL","590.423.4560",1998-2-5,"IT_PROG","4800.00","","103","60"
"107","Diana","Lorentz","DLORENTZ","590.423.5567",1999-2-7,"IT_PROG","4200.00","","103","60"
"108","Nancy","Greenberg","NGREENBE","515.124.4569",1994-8-17,"FI_MGR","32000.00","","101","100"
"109","Daniel","Faviet","DFAVIET","515.124.4169",1994-8-16,"FI_ACCOUNT","9000.00","","108","100"
"110","John","Chen","JCHEN","515.124.4269",1997-9-28,"FI_ACCOUNT","4080.00","","108","100"
"111","Ismael","Sciarra","ISCIARRA","515.124.4369",1997-9-30,"FI_ACCOUNT","9317.00","","108","100"
"112","Jose Manuel","Urman","JMURMAN","515.124.4469",1998-3-7,"FI_ACCOUNT","7800.00","","108","100"
"113","Luis","Popp","LPOPP","515.124.4567",1999-12-7,"FI_ACCOUNT","6900.00","","108","100"
"114","Den","Raphaely","DRAPHEAL","515.127.4561",1994-12-7,"SH_CLERK","11000.00","0.20","100","20"
"115","Alexander","Khoo","AKHOO","515.127.4562",1995-5-18,"SA_MAN","5200.00","0.20","114","20"
"116","Shelli","Baida","SBAIDA","515.127.4563",1997-12-24,"PU_CLERK","5011.20","","114","30"
"117","Sigal","Tobias","STOBIAS","515.127.4564",1997-7-24,"SA_MAN","4838.40","","114","30"
"118","Guy","Himuro","GHIMURO","515.127.4565",1998-11-15,"PU_CLERK","2600.00","","114","30"
"119","Karen","Colmenares","KCOLMENA","515.127.4566",1999-8-10,"PU_CLERK","3000.00","","114","30"
"120","Matthew","Weiss","MWEISS","650.123.1234",1996-7-18,"ST_MAN","46151.54","","100","50"
"121","Adam","Fripp","AFRIPP","650.123.2234",1997-4-10,"ST_MAN","39151.54","","100","50"
"122","Payam","Kaufling","PKAUFLIN","650.123.3234",1995-5-1,"ST_MAN","39151.54","","100","50"
"123","Shanta","Vollman","SVOLLMAN","650.123.4234",1997-10-10,"ST_MAN","39151.54","","100","50"
"124","Kevin","Mourgos","KMOURGOS","650.123.5234",1999-11-16,"ST_MAN","39151.54","","100","50"
